path,sha256,size_bytes,kind,status,antenna,port,point_count,declared_frequency_unit,raw_frequency_min,raw_frequency_max,source_sha256_at_17f0a758,provenance_note,validation_flags
Results/Corrupt_Artifacts/ANT1481H_P2.jpg.nul,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,47411,corrupt_smith_chart_bytes,quarantined_corrupt,ANT1481H,P2,,,,,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,Moved from Results/Smith_Charts/ANT1481H_P2.jpg and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/Corrupt_Artifacts/ANT1481H_P2.s1p.nul,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,8167,corrupt_touchstone_bytes,quarantined_corrupt,ANT1481H,P2,,,,,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,Moved from Results/Touchstone_Files/ANT1481H_P2.s1p and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/S11_Plots/S11_ANT1342H_P1.png,d31fd3df30273e66029603419b78733669c854b69f29388596faf2ab2b36ceaf,31067,s11_plot_png,regenerated_valid,ANT1342H,P1,,,,,f4607e057b24cd35a02c1a7df61f6b3066cac812c52f16b2bf3b7a5b1618e28d,Regenerated from the current ANT1342H Touchstone file with tools/render_s1p_plots.py; replaces the stale pre-retest plot at 17f0a758.,valid_png_container;S11_magnitude_label_dB;regenerated_from_current_touchstone;replaces_stale_pre_retest_plot
Results/S11_Plots/S11_ANT1342H_P2.png,1821d660ce45a005709e9cb05b9a3d88959125d1ba3c841064fc484ddeabfa1c,30429,s11_plot_png,regenerated_valid,ANT1342H,P2,,,,,b50647e73b2b5ecab027685642004304757a16bb517f9797eca58c9d613851b2,Regenerated from the current ANT1342H Touchstone file with tools/render_s1p_plots.py; replaces the stale pre-retest plot at 17f0a758.,valid_png_container;S11_magnitude_label_dB;regenerated_from_current_touchstone;replaces_stale_pre_retest_plot
Results/S11_Plots/S11_ANT1343H_P1.png,689e4f4096564d049f10997011d47a9a98434842fdb1dfd30d6b8d633c92bcf2,27993,s11_plot_png,reference_plot_valid,ANT1343H,P1,,,,,689e4f4096564d049f10997011d47a9a98434842fdb1dfd30d6b8d633c92bcf2,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1343H_P2.png,af2c9b49b950b9baff75a45ce92e53bf921d9ff9c80f58f5c8545329e8a1652e,25709,s11_plot_png,reference_plot_valid,ANT1343H,P2,,,,,af2c9b49b950b9baff75a45ce92e53bf921d9ff9c80f58f5c8545329e8a1652e,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1344H_P1.png,31fe6df4b0a3b876b5961ba089930089f96562abed804775a2993f46eca75891,28142,s11_plot_png,reference_plot_valid,ANT1344H,P1,,,,,31fe6df4b0a3b876b5961ba089930089f96562abed804775a2993f46eca75891,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1344H_P2.png,bdf7f0a117f32c6a9947abfa206f850a3538c037c86516806e8fdd01929ba789,27211,s11_plot_png,reference_plot_valid,ANT1344H,P2,,,,,bdf7f0a117f32c6a9947abfa206f850a3538c037c86516806e8fdd01929ba789,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1345H_P1.png,2fcca0572bc4745ed8a13bde239faf2ad810c16091b5c967e5f9c65fa14aec74,28017,s11_plot_png,reference_plot_valid,ANT1345H,P1,,,,,2fcca0572bc4745ed8a13bde239faf2ad810c16091b5c967e5f9c65fa14aec74,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1345H_P2.png,6301bac7ee350a51ca992a3aff01e1e67fb9b97984156dd447389d26891718bf,27494,s11_plot_png,reference_plot_valid,ANT1345H,P2,,,,,6301bac7ee350a51ca992a3aff01e1e67fb9b97984156dd447389d26891718bf,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1346H_P1.png,ff1284541b3a08ee66bbdc06ddb16dd4d71141ece5ab00b0aa3e0f944dca29dc,28263,s11_plot_png,reference_plot_valid,ANT1346H,P1,,,,,ff1284541b3a08ee66bbdc06ddb16dd4d71141ece5ab00b0aa3e0f944dca29dc,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1346H_P2.png,607826d1dd144291b22f1f5ccf74f99172d6b053353f82f66cca4715d0829347,28514,s11_plot_png,reference_plot_valid,ANT1346H,P2,,,,,607826d1dd144291b22f1f5ccf74f99172d6b053353f82f66cca4715d0829347,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1347H_P1.png,0bec148d9e1689b803620964ae66a3561ee9c30cb42bee54db8003cd994756a2,26132,s11_plot_png,reference_plot_valid,ANT1347H,P1,,,,,0bec148d9e1689b803620964ae66a3561ee9c30cb42bee54db8003cd994756a2,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1347H_P2.png,609b43040550538cd4a6d8a6be04bbc8a0592d16b59e569d4ecb61c8f56cc687,27888,s11_plot_png,reference_plot_valid,ANT1347H,P2,,,,,609b43040550538cd4a6d8a6be04bbc8a0592d16b59e569d4ecb61c8f56cc687,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1348H_P1.png,aa3b472477e9853dfdd98083587118c64a4f0db2c6e9bd83685995014ef9f689,28552,s11_plot_png,reference_plot_valid,ANT1348H,P1,,,,,aa3b472477e9853dfdd98083587118c64a4f0db2c6e9bd83685995014ef9f689,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1348H_P2.png,4009eff4d934250ab721b0dfe7e048fe6199dae42023c459b254cbd21589cabf,25651,s11_plot_png,reference_plot_valid,ANT1348H,P2,,,,,4009eff4d934250ab721b0dfe7e048fe6199dae42023c459b254cbd21589cabf,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
